filenumber,step,mini,maxi,ignored,accepted,A,f₀,γ,bg,intensity
1,0,2.0e10,2.5e10,Int64[],true,300.0772402201499,2.190514481688596e10,4.973199799352743e7,9.06561721811306,0.320396822439051
1,1,2.0e10,2.5e10,Int64[],true,305.8150976664953,2.189352862335697e10,5.338594136562425e7,8.03651617105236,0.320396822439051
1,2,2.0e10,2.5e10,Int64[],true,337.9953817148472,2.1838837447503757e10,3.397714180118192e7,9.480033635237023,0.320396822439051
2,0,2.0e10,2.5e10,Int64[],true,132.56096206256285,2.184749357767058e10,5.5403919862505466e7,9.31308817399617,0.09154194926830028
2,1,2.0e10,2.5e10,Int64[],true,171.3864441843039,2.183738476653559e10,3.336647001584944e7,9.360721747729334,0.09154194926830028
2,2,2.0e10,2.5e10,Int64[],true,180.4778683737459,2.187138833415741e10,3.6181128457329966e7,9.40686352651631,0.09154194926830028
3,0,2.0e10,2.5e10,Int64[],true,1069.6219636239482,2.1856102724967155e10,3.8827055341705225e7,7.684325443039704,0.9154194926830028
3,1,2.0e10,2.5e10,Int64[],true,1336.9450006082238,2.1841091997601093e10,2.9777585093632497e7,9.489886119769295,0.9154194926830028
3,2,2.0e10,2.5e10,Int64[],true,1112.000543623677,2.183280630974518e10,4.4730938235907584e7,7.611876877855327,0.9154194926830028
4,0,2.0e10,2.5e10,Int64[],true,2088.9912842066074,2.2394611987100903e10,4.8652984199035846e7,4.382015968354942,1.8308389853660056
4,1,2.0e10,2.5e10,Int64[],true,2056.4617398370224,2.2375518436915604e10,5.548113554818491e7,2.565893654197666,1.8308389853660056
4,2,2.0e10,2.5e10,Int64[],true,2376.383050102164,2.2403919071510143e10,4.48878345492454e7,7.045969943169354,1.8308389853660056
5,0,2.0e10,2.5e10,Int64[],true,3303.868382974237,2.2412855843840454e10,5.622564435366036e7,-0.47141763400237835,3.6616779707320113
5,1,2.0e10,2.5e10,Int64[],true,3222.9537715300694,2.2418012087019352e10,4.047636023646133e7,13.160917133596158,3.6616779707320113
5,2,2.0e10,2.5e10,Int64[],true,3365.5825722842615,2.242328480227915e10,4.402935608221835e7,10.461923072847881,3.6616779707320113
6,0,2.0e10,2.5e10,Int64[],true,4553.270554281793,2.24052957567403e10,5.505728943040448e7,10.229919364453082,7.323355941464023
6,1,2.0e10,2.5e10,Int64[],true,3718.0862067366343,2.2425658495446968e10,6.5797493682073474e7,3.81909501175312,7.323355941464023
6,2,2.0e10,2.5e10,Int64[],true,4623.754921838514,2.2392588284460945e10,5.717240909739227e7,5.930455211643988,7.323355941464023
7,0,2.0e10,2.5e10,Int64[],true,5337.9044001151515,2.242007785374364e10,6.97241359437955e7,9.329260665355292,14.646711882928045
7,1,2.0e10,2.5e10,Int64[],true,4830.940232115685,2.2411840903001663e10,8.849794159211683e7,-15.099240296875678,14.646711882928045
7,2,2.0e10,2.5e10,Int64[],true,5626.749733961785,2.2394446662173767e10,7.011875322503771e7,5.171989051651877,14.646711882928045
8,0,2.0e10,2.5e10,Int64[],true,6138.581955774598,2.242736226572921e10,1.1624443738530119e8,-20.152185217209478,29.29342376585609
8,1,2.0e10,2.5e10,Int64[],true,5373.8613268222625,2.2444189149697586e10,9.339799469801977e7,27.66407778721515,29.29342376585609
8,2,2.0e10,2.5e10,Int64[],true,5904.298733801921,2.2429355069812706e10,9.657735955826958e7,9.055827610466224,29.29342376585609
9,0,2.0e10,2.5e10,Int64[],true,5560.337815079419,2.240259185664608e10,1.3853982335918093e8,16.271737712383015,58.58684753171218
9,1,2.0e10,2.5e10,Int64[],true,5257.798922490853,2.239794406890419e10,1.4219499098199004e8,12.570938329376645,58.58684753171218
9,2,2.0e10,2.5e10,Int64[],true,5564.167655328362,2.2382756643610268e10,1.3274463955605015e8,16.59338185734049,58.58684753171218
10,0,2.0e10,2.5e10,Int64[],true,5794.867623623579,2.239916179119162e10,2.029281698204471e8,20.583651178131618,117.17369506342436
10,1,2.0e10,2.5e10,Int64[],true,5798.354684471092,2.2267498674479145e10,1.7737341412455443e8,54.01022779037953,117.17369506342436
10,2,2.0e10,2.5e10,Int64[],true,5453.360776988506,2.2244459419592846e10,1.515722408192271e8,91.59132536278253,117.17369506342436
11,0,2.0e10,2.5e10,Int64[],true,5982.285445046365,2.215942560085961e10,2.5867597496457773e8,84.30084694425398,234.34739012684872
11,1,2.0e10,2.5e10,Int64[],true,6174.707319874183,2.2187534229928345e10,2.650550384891919e8,72.80233574436011,234.34739012684872
11,2,2.0e10,2.5e10,Int64[],true,5972.078528639452,2.2227931795597954e10,2.3884810137115204e8,125.16406091030808,234.34739012684872
12,0,1.0e10,3.5e10,Int64[],true,6204.648138170817,2.2572496909900696e10,3.700688775128799e8,175.28525790518069,468.69478025369745
12,1,1.0e10,3.5e10,Int64[],true,6064.633496024457,2.2489814092987473e10,3.896043156176372e8,160.4311873642527,468.69478025369745
12,2,1.0e10,3.5e10,Int64[],true,6050.979032977424,2.2458230095390144e10,3.65708937819402e8,175.92806655319168,468.69478025369745
13,0,1.0e10,3.5e10,Int64[],true,6238.721183060386,2.2268354375377926e10,5.2645471652478975e8,296.1755862171398,937.3895605073949
