"Time differences (ps)"	"Normalized correlation g(2)"
-135000	0.6045803267731382
-134700	1.3099240413417996
-134400	0.8061071023641844
-134100	1.5114508169328458
-133800	1.4106874291373226
-133500	1.2091606535462764
-133200	0.9068704901597074
-132900	1.3099240413417996
-132600	1.0076338779552305
-132300	0.9068704901597074
-132000	0.7053437145686613
-131700	1.4106874291373226
-131400	0.9068704901597074
-131100	1.4106874291373226
-130800	0.9068704901597074
-130500	1.0076338779552305
-130200	1.2091606535462764
-129900	0.9068704901597074
-129600	1.4106874291373226
-129300	1.5114508169328458
-129000	0.9068704901597074
-128700	0.8061071023641844
-128400	0.9068704901597074
-128100	1.1083972657507535
-127800	1.2091606535462764
-127500	1.3099240413417996
-127200	1.1083972657507535
-126900	1.1083972657507535
-126600	1.1083972657507535
-126300	0.9068704901597074
-126000	1.0076338779552305
-125700	1.5114508169328458
-125400	1.6122142047283687
-125100	1.3099240413417996
-124800	1.8137409803194149
-124500	1.3099240413417996
-124200	1.7129775925238917
-123900	1.7129775925238917
-123600	1.1083972657507535
-123300	1.1083972657507535
-123000	1.0076338779552305
-122700	1.3099240413417996
-122400	0.7053437145686613
-122100	1.9145043681149378
-121800	1.4106874291373226
-121500	1.5114508169328458
-121200	1.2091606535462764
-120900	0.9068704901597074
-120600	1.1083972657507535
-120300	0.9068704901597074
-120000	1.2091606535462764
-119700	1.0076338779552305
-119400	1.0076338779552305
-119100	0.8061071023641844
-118800	1.8137409803194149
-118500	1.4106874291373226
-118200	0.7053437145686613
-117900	1.1083972657507535
-117600	0.9068704901597074
-117300	0.7053437145686613
-117000	1.3099240413417996
-116700	0.8061071023641844
-116400	1.4106874291373226
-116100	1.6122142047283687
-115800	0.9068704901597074
-115500	1.6122142047283687
-115200	1.0076338779552305
-114900	1.0076338779552305
-114600	1.2091606535462764
-114300	1.3099240413417996
-114000	0.5038169389776153
-113700	1.4106874291373226
-113400	1.2091606535462764
-113100	0.9068704901597074
-112800	0.9068704901597074
-112500	1.2091606535462764
-112200	1.1083972657507535
-111900	1.1083972657507535
-111600	1.6122142047283687
-111300	1.5114508169328458
-111000	0.7053437145686613
-110700	0.9068704901597074
-110400	1.2091606535462764
-110100	0.5038169389776153
-109800	1.6122142047283687
-109500	1.0076338779552305
-109200	1.0076338779552305
-108900	1.2091606535462764
-108600	0.9068704901597074
-108300	1.0076338779552305
-108000	0.8061071023641844
-107700	1.4106874291373226
-107400	1.1083972657507535
-107100	1.2091606535462764
-106800	0.5038169389776153
-106500	1.2091606535462764
-106200	1.8137409803194149
-105900	1.1083972657507535
-105600	1.1083972657507535
-105300	1.5114508169328458
-105000	1.3099240413417996
-104700	1.2091606535462764
-104400	1.5114508169328458
-104100	1.9145043681149378
-103800	0.9068704901597074
-103500	1.1083972657507535
-103200	1.0076338779552305
-102900	1.4106874291373226
-102600	1.3099240413417996
-102300	1.2091606535462764
-102000	1.3099240413417996
-101700	0.8061071023641844
-101400	1.7129775925238917
-101100	1.1083972657507535
-100800	1.3099240413417996
-100500	1.7129775925238917
-100200	0.5038169389776153
-99900	1.2091606535462764
-99600	0.5038169389776153
-99300	1.2091606535462764
-99000	1.0076338779552305
-98700	0.8061071023641844
-98400	1.6122142047283687
-98100	0.7053437145686613
-97800	2.116031143705984
-97500	1.0076338779552305
-97200	1.5114508169328458
-96900	1.2091606535462764
-96600	1.4106874291373226
-96300	1.0076338779552305
-96000	2.015267755910461
-95700	1.5114508169328458
-95400	0.7053437145686613
-95100	1.4106874291373226
-94800	1.5114508169328458
-94500	0.6045803267731382
-94200	1.4106874291373226
-93900	1.0076338779552305
-93600	0.9068704901597074
-93300	1.0076338779552305
-93000	0.9068704901597074
-92700	1.1083972657507535
-92400	1.2091606535462764
-92100	1.8137409803194149
-91800	1.5114508169328458
-91500	0.7053437145686613
-91200	1.0076338779552305
-90900	1.3099240413417996
-90600	0.9068704901597074
-90300	0.7053437145686613
-90000	1.3099240413417996
-89700	1.0076338779552305
-89400	1.0076338779552305
-89100	0.8061071023641844
-88800	1.3099240413417996
-88500	2.418321307092553
-88200	0.7053437145686613
-87900	1.8137409803194149
-87600	1.1083972657507535
