"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
0	10750	8600
20000000000	11400	7250
40000000000	12600	8900
60000000000	11600	8900
80000000000	11650	8600
100000000000	12950	8250
120000000000	11100	9450
140000000000	12200	9500
160000000000	12050	7700
180000000000	12450	8350
200000000000	13250	8450
220000000000	10300	7300
240000000000	11700	7400
260000000000	10300	8500
280000000000	12800	9400
300000000000	9500	7900
320000000000	11550	8550
340000000000	11400	8100
360000000000	11450	7850
380000000000	10750	7950
400000000000	10950	7900
420000000000	11950	8150
440000000000	10750	9150
460000000000	11500	7450
480000000000	10900	8500
500000000000	10850	8350
520000000000	11900	7800
540000000000	11350	8600
560000000000	12250	9100
580000000000	10450	8700
600000000000	11800	7700
620000000000	11400	8350
640000000000	10700	8500
660000000000	11250	8050
680000000000	11150	8700
700000000000	12500	8050
720000000000	11200	8800
740000000000	10250	9850
760000000000	12450	7850
780000000000	10250	9200
800000000000	11300	8300
820000000000	11250	7850
840000000000	10350	8350
860000000000	13400	8350
880000000000	12150	9300
900000000000	11700	8300
920000000000	11800	8600
940000000000	11350	7150
960000000000	11700	9250
980000000000	11600	8950
1000000000000	11550	8800
1020000000000	11600	9000
1040000000000	12050	7950
1060000000000	12150	8750
1080000000000	11550	8300
1100000000000	11700	8150
1120000000000	11100	8850
1140000000000	11300	8550
1160000000000	11300	8800
1180000000000	9450	8150
1200000000000	11400	9000
1220000000000	11000	8400
1240000000000	12050	8300
1260000000000	12000	9400
1280000000000	11950	9100
1300000000000	11700	9200
1320000000000	11550	8600
1340000000000	11950	8850
1360000000000	11350	8700
1380000000000	10350	8500
1400000000000	11750	10300
1420000000000	11950	8500
1440000000000	11200	7800
1460000000000	10700	8200
1480000000000	12100	8750
1500000000000	11600	8550
1520000000000	11050	8600
1540000000000	13150	9200
1560000000000	12150	8950
1580000000000	11850	9150
1600000000000	12000	9300
1620000000000	12450	10400
1640000000000	11900	8100
1660000000000	10800	10100
1680000000000	12200	8750
1700000000000	12350	8250
1720000000000	11000	9050
1740000000000	12150	9900
1760000000000	12150	7500
1780000000000	10800	9750
1800000000000	11700	9050
1820000000000	12200	8650
1840000000000	12450	7850
1860000000000	11100	9400
1880000000000	11000	8650
1900000000000	11000	7200
1920000000000	12950	8300
1940000000000	11600	9500
1960000000000	10950	8200
1980000000000	11250	9850
2000000000000	12650	9750
2020000000000	11150	9400
2040000000000	12550	7600
2060000000000	12500	8550
2080000000000	10850	8450
2100000000000	11100	8750
2120000000000	10950	7450
2140000000000	12400	9650
2160000000000	12400	7900
2180000000000	11050	10000
2200000000000	12250	9150
2220000000000	12500	8250
2240000000000	13700	9800
2260000000000	12700	8300
2280000000000	11750	9850
2300000000000	11700	9200
2320000000000	9600	7250
2340000000000	11650	8150
2360000000000	10850	8050
2380000000000	10200	7500
2400000000000	11050	9100
2420000000000	10850	7600
2440000000000	10150	7200
2460000000000	10200	9450
2480000000000	11300	8500
2500000000000	11050	8450
2520000000000	11350	8450
2540000000000	10800	8100
2560000000000	11850	8750
2580000000000	11350	7600
2600000000000	11850	7050
2620000000000	12300	9050
2640000000000	12000	8100
2660000000000	11650	8550
2680000000000	11950	9600
2700000000000	10650	8350
2720000000000	11050	7800
2740000000000	11800	7900
2760000000000	10750	7100
2780000000000	11550	7400
2800000000000	11300	8300
2820000000000	10950	8450
2840000000000	10650	8050
2860000000000	10400	8200
2880000000000	10250	7900
2900000000000	10900	8250
2920000000000	11400	7100
2940000000000	11750	8800
2960000000000	9750	8450
2980000000000	11200	8050
3000000000000	10450	7700
3020000000000	9200	8750
3040000000000	10650	7350
3060000000000	9500	6650
3080000000000	11400	8350
3100000000000	10300	8300
3120000000000	9600	8900
3140000000000	12150	7300
3160000000000	10450	8450
3180000000000	12150	8950
3200000000000	10300	7950
3220000000000	10100	6800
3240000000000	10950	6850
3260000000000	10450	9150
3280000000000	9950	7900
3300000000000	10200	8200
3320000000000	12000	8150
3340000000000	10650	7950
3360000000000	11200	7100
3380000000000	10300	8500
3400000000000	10100	9100
3420000000000	10850	8300
3440000000000	10250	7250
3460000000000	10550	7850
3480000000000	10300	8150
3500000000000	10150	8200
3520000000000	10850	8000
3540000000000	9250	8400
3560000000000	11400	8650
3580000000000	12450	7650
3600000000000	10500	9050
3620000000000	11100	9450
3640000000000	10800	9600
3660000000000	13100	8500
3680000000000	11400	7250
3700000000000	10700	8000
3720000000000	11200	7300
3740000000000	11900	7650
3760000000000	11700	8100
3780000000000	10600	7800
3800000000000	13050	7250
3820000000000	10700	8700
3840000000000	11250	10800
3860000000000	11350	7150
3880000000000	12050	8200
3900000000000	11600	7000
3920000000000	11200	7750
3940000000000	12000	8000
3960000000000	9650	7500
3980000000000	11900	8300
4000000000000	10000	8150
4020000000000	10850	8150
4040000000000	9750	8050
4060000000000	11900	8650
4080000000000	10900	8550
4100000000000	10950	7150
4120000000000	12850	8300
4140000000000	11900	8200
4160000000000	10250	8950
4180000000000	10350	8150
4200000000000	11700	8450
4220000000000	11150	9750
4240000000000	11700	8100
4260000000000	12050	8500
4280000000000	10700	7750
4300000000000	11450	8950
4320000000000	11400	8950
4340000000000	9800	7750
4360000000000	11100	8150
4380000000000	11150	8550
4400000000000	12100	8900
4420000000000	12400	7850
4440000000000	11700	8050
4460000000000	11150	8600
4480000000000	10300	8550
4500000000000	12350	8900
4520000000000	10300	7850
4540000000000	10350	8600
4560000000000	11600	8300
4580000000000	11350	8950
4600000000000	12250	8500
4620000000000	11950	8550
4640000000000	10850	8400
4660000000000	11450	8550
4680000000000	10900	8450
4700000000000	10750	7950
4720000000000	12050	8850
4740000000000	10450	8400
4760000000000	10400	8350
4780000000000	11350	8500
4800000000000	11650	8200
4820000000000	11200	8150
4840000000000	12400	8300
4860000000000	10900	9000
4880000000000	12050	8650
4900000000000	11200	7850
4920000000000	10400	8050
4940000000000	11550	7650
4960000000000	11000	8550
4980000000000	10900	9150
5000000000000	12400	9100
5020000000000	12650	7650
5040000000000	12450	9750
5060000000000	13400	9300
5080000000000	12250	8350
5100000000000	11650	8100
5120000000000	11700	8550
5140000000000	11200	8750
5160000000000	11850	8650
5180000000000	11250	8800
5200000000000	12550	8750
5220000000000	12600	8200
5240000000000	11300	9400
5260000000000	11750	8150
5280000000000	10550	7600
5300000000000	9700	7600
5320000000000	11100	8900
5340000000000	9800	8850
5360000000000	11950	9000
5380000000000	11400	9450
5400000000000	11300	8850
5420000000000	10350	8050
5440000000000	10900	7450
5460000000000	11400	8650
5480000000000	11750	7800
5500000000000	12300	8550
5520000000000	10400	8050
5540000000000	12300	9050
5560000000000	13500	7550
5580000000000	12150	9250
5600000000000	11050	8000
5620000000000	12000	8100
5640000000000	10950	9250
5660000000000	11500	8450
5680000000000	13100	9450
5700000000000	10000	9300
5720000000000	11600	9250
5740000000000	11250	7850
5760000000000	12100	8350
5780000000000	11950	8250
5800000000000	10850	7850
5820000000000	13050	9350
5840000000000	10250	8400
5860000000000	11950	7700
5880000000000	10150	8950
5900000000000	11050	7600
5920000000000	11100	9600
5940000000000	10700	8900
5960000000000	11700	8650
5980000000000	11450	9250
6000000000000	10900	9050
6020000000000	12000	8100
6040000000000	10700	9050
6060000000000	11950	8700
6080000000000	11500	8200
6100000000000	10600	9250
6120000000000	12150	8300
6140000000000	12000	10200
6160000000000	12300	8250
6180000000000	11350	9950
6200000000000	9950	10050
6220000000000	12050	8900
6240000000000	12100	7650
6260000000000	12400	8850
6280000000000	10350	9900
6300000000000	11150	8900
6320000000000	12450	7800
6340000000000	10650	8500
6360000000000	11900	7350
6380000000000	12600	6550
6400000000000	11450	9150
6420000000000	11250	8350
6440000000000	14100	9550
6460000000000	11300	8750
6480000000000	10900	8750
6500000000000	11900	9850
6520000000000	11450	9250
6540000000000	11650	8300
6560000000000	11850	9050
6580000000000	9950	8850
6600000000000	11500	7800
6620000000000	12150	9200
6640000000000	10900	9050
6660000000000	10700	9300
6680000000000	13800	8250
6700000000000	11200	8150
6720000000000	11800	9700
6740000000000	11550	10700
6760000000000	10650	8900
6780000000000	11300	9250
6800000000000	13000	9100
6820000000000	11450	8750
6840000000000	12500	9050
6860000000000	11500	8150
6880000000000	11700	9800
6900000000000	12700	8750
6920000000000	11500	9350
6940000000000	11400	8700
6960000000000	11300	7250
6980000000000	11100	9250
7000000000000	11450	7200
7020000000000	12150	8550
7040000000000	11100	9400
7060000000000	11600	8250
7080000000000	11450	7550
7100000000000	10650	8850
7120000000000	10700	8900
7140000000000	12050	8750
7160000000000	10950	8450
7180000000000	10900	10450
7200000000000	12750	7850
7220000000000	13750	8100
7240000000000	11400	8350
7260000000000	11400	7300
7280000000000	12200	7100
7300000000000	13100	9250
7320000000000	12000	8600
7340000000000	11450	9300
7360000000000	11800	8750
7380000000000	11350	8250
7400000000000	11300	9200
7420000000000	10600	9050
7440000000000	11200	9000
7460000000000	11150	8600
7480000000000	10750	8550
7500000000000	11000	8450
7520000000000	11700	8700
7540000000000	11700	7700
7560000000000	11000	8550
7580000000000	11300	8150
7600000000000	11400	8250
7620000000000	10750	8700
7640000000000	12150	7450
7660000000000	10850	7400
7680000000000	11400	7900
7700000000000	11100	8300
7720000000000	11950	8750
7740000000000	11700	8400
7760000000000	12550	7800
7780000000000	12000	8550
7800000000000	12300	8950
7820000000000	11400	8100
7840000000000	12000	8850
7860000000000	12250	7900
7880000000000	11200	7850
7900000000000	10750	8550
7920000000000	11050	9750
7940000000000	11850	9250
7960000000000	11550	9450
7980000000000	11800	7650
8000000000000	10750	9850
8020000000000	11400	8850
8040000000000	11750	9000
8060000000000	11550	9900
8080000000000	11750	9350
8100000000000	11900	7600
8120000000000	12550	9150
8140000000000	11750	8400
8160000000000	10600	7200
8180000000000	11300	8250
8200000000000	11550	8200
8220000000000	12450	8200
8240000000000	11250	7350
8260000000000	11450	9750
8280000000000	10950	7950
