"Time differences (ps)"	"Counts per bin"
-135000	7
-134700	4
-134400	9
-134100	8
-133800	10
-133500	2
-133200	9
-132900	7
-132600	11
-132300	6
-132000	4
-131700	11
-131400	12
-131100	8
-130800	14
-130500	8
-130200	7
-129900	8
-129600	8
-129300	11
-129000	10
-128700	8
-128400	3
-128100	6
-127800	6
-127500	10
-127200	11
-126900	12
-126600	7
-126300	11
-126000	6
-125700	9
-125400	13
-125100	4
-124800	9
-124500	11
-124200	16
-123900	9
-123600	6
-123300	12
-123000	7
-122700	8
-122400	15
-122100	10
-121800	7
-121500	5
-121200	9
-120900	9
-120600	7
-120300	4
-120000	5
-119700	10
-119400	8
-119100	9
-118800	8
-118500	11
-118200	7
-117900	12
-117600	12
-117300	12
-117000	9
-116700	8
-116400	8
-116100	5
-115800	7
-115500	7
-115200	9
-114900	7
-114600	13
-114300	9
-114000	8
-113700	2
-113400	7
-113100	8
-112800	10
-112500	8
-112200	9
-111900	8
-111600	8
-111300	7
-111000	2
-110700	6
-110400	6
-110100	9
-109800	5
-109500	7
-109200	8
-108900	6
-108600	9
-108300	12
-108000	2
-107700	6
-107400	9
-107100	13
-106800	7
-106500	7
-106200	9
-105900	7
-105600	8
-105300	9
-105000	8
-104700	9
-104400	10
-104100	7
-103800	9
-103500	5
-103200	4
-102900	11
-102600	11
-102300	14
-102000	3
-101700	8
-101400	11
-101100	10
-100800	5
-100500	11
-100200	9
-99900	5
-99600	6
-99300	8
-99000	12
-98700	9
-98400	4
-98100	12
-97800	6
-97500	12
-97200	7
-96900	5
-96600	7
-96300	5
-96000	6
-95700	14
-95400	12
-95100	9
-94800	9
-94500	4
-94200	8
-93900	9
-93600	7
-93300	10
-93000	6
-92700	8
-92400	12
-92100	13
-91800	15
-91500	13
-91200	11
-90900	10
-90600	6
-90300	10
-90000	4
-89700	7
-89400	6
-89100	6
-88800	15
-88500	5
-88200	5
-87900	6
-87600	13
-87300	8
-87000	11
-86700	11
-86400	2
-86100	11
-85800	9
-85500	8
-85200	9
-84900	7
-84600	11
-84300	8
-84000	8
-83700	5
-83400	7
-83100	10
-82800	11
-82500	9
-82200	7
-81900	7
-81600	8
-81300	6
-81000	7
-80700	8
-80400	10
-80100	8
-79800	8
-79500	8
-79200	6
-78900	12
-78600	9
-78300	5
-78000	14
-77700	9
-77400	12
-77100	6
-76800	7
-76500	7
-76200	9
-75900	8
-75600	7
-75300	10
-75000	7
-74700	11
-74400	5
-74100	8
-73800	11
-73500	8
-73200	4
-72900	10
-72600	10
-72300	6
-72000	7
-71700	9
-71400	4
-71100	9
-70800	7
-70500	11
-70200	6
-69900	8
-69600	7
-69300	9
-69000	13
-68700	6
-68400	9
-68100	10
-67800	7
-67500	8
-67200	2
-66900	3
-66600	7
-66300	8
-66000	11
-65700	4
-65400	13
-65100	3
-64800	8
-64500	5
-64200	4
-63900	7
-63600	7
-63300	4
-63000	6
-62700	6
-62400	7
-62100	9
-61800	4
-61500	6
-61200	8
-60900	12
-60600	7
-60300	6
-60000	9
-59700	7
-59400	11
-59100	16
-58800	12
-58500	8
-58200	14
-57900	2
-57600	12
-57300	6
-57000	12
-56700	9
-56400	11
-56100	5
-55800	6
-55500	5
-55200	8
-54900	5
-54600	5
-54300	6
-54000	3
-53700	2
-53400	2
-53100	3
-52800	1
-52500	1
-52200	2
-51900	0
-51600	0
-51300	2
-51000	2
-50700	4
-50400	4
-50100	4
-49800	5
-49500	10
-49200	8
-48900	5
-48600	9
-48300	3
-48000	9
-47700	11
-47400	16
-47100	6
-46800	10
-46500	10
-46200	7
-45900	18
-45600	4
-45300	9
-45000	13
-44700	12
-44400	10
-44100	16
-43800	11
-43500	10
-43200	9
-42900	8
-42600	6
-42300	11
-42000	5
-41700	13
-41400	11
-41100	11
-40800	5
-40500	2
-40200	7
-39900	8
-39600	10
-39300	8
-39000	9
-38700	6
-38400	11
-38100	9
-37800	10
-37500	7
-37200	5
-36900	14
-36600	13
-36300	4
-36000	6
-35700	15
-35400	9
-35100	10
-34800	13
-34500	5
-34200	9
-33900	7
-33600	9
-33300	9
-33000	7
-32700	9
-32400	5
-32100	6
-31800	10
-31500	3
-31200	9
-30900	14
-30600	10
-30300	6
-30000	7
-29700	8
-29400	12
-29100	8
-28800	6
-28500	11
-28200	10
-27900	8
-27600	6
-27300	10
-27000	5
-26700	9
-26400	2
-26100	8
-25800	10
-25500	7
-25200	5
-24900	11
-24600	7
-24300	9
-24000	11
-23700	11
-23400	10
-23100	7
-22800	8
-22500	3
-22200	8
-21900	7
-21600	5
-21300	8
-21000	9
-20700	7
-20400	7
-20100	11
-19800	4
-19500	5
-19200	4
-18900	4
-18600	8
-18300	12
-18000	7
-17700	13
-17400	13
-17100	8
-16800	5
-16500	6
-16200	11
-15900	11
-15600	8
-15300	12
-15000	11
-14700	10
-14400	3
-14100	4
-13800	6
-13500	14
-13200	6
-12900	10
-12600	9
-12300	12
-12000	13
-11700	4
-11400	12
-11100	9
-10800	11
-10500	6
-10200	14
-9900	8
-9600	4
-9300	6
-9000	3
-8700	8
-8400	5
-8100	7
-7800	9
-7500	10
-7200	20
-6900	13
-6600	8
-6300	6
-6000	8
-5700	9
-5400	5
-5100	7
-4800	5
-4500	4
-4200	10
-3900	10
-3600	8
-3300	14
-3000	3
-2700	3
-2400	5
-2100	6
-1800	10
-1500	7
-1200	7
-900	8
-600	7
-300	12
0	10
300	10
600	8
900	11
1200	6
1500	9
1800	8
2100	8
2400	4
2700	12
3000	12
3300	10
3600	10
3900	9
4200	7
4500	5
4800	11
5100	8
5400	6
5700	13
6000	9
6300	9
6600	9
6900	11
7200	9
7500	8
7800	6
8100	5
8400	10
8700	15
9000	11
9300	10
9600	3
9900	10
10200	3
10500	8
10800	7
11100	10
11400	8
11700	7
12000	14
12300	9
12600	6
12900	8
13200	9
13500	9
13800	10
14100	10
14400	4
14700	8
15000	8
15300	8
15600	5
15900	7
16200	7
16500	8
16800	11
17100	14
17400	5
17700	9
18000	6
18300	1
18600	11
18900	8
19200	9
19500	4
19800	8
20100	3
20400	6
20700	7
21000	11
21300	9
21600	9
21900	9
22200	9
22500	14
22800	7
23100	12
23400	8
23700	9
24000	5
24300	7
24600	6
24900	13
25200	3
25500	8
25800	10
26100	12
26400	6
26700	10
27000	5
27300	4
27600	3
27900	10
28200	12
28500	7
28800	10
29100	10
29400	8
29700	10
30000	10
30300	7
30600	9
30900	4
31200	10
31500	8
31800	5
32100	5
32400	8
32700	7
33000	7
33300	10
33600	7
33900	12
34200	8
34500	3
34800	2
35100	12
35400	3
35700	6
36000	11
36300	12
36600	5
36900	9
37200	3
37500	14
37800	7
38100	6
38400	10
38700	5
39000	13
39300	12
39600	12
39900	9
40200	8
40500	5
40800	13
41100	5
41400	6
41700	8
42000	6
42300	10
42600	9
42900	5
43200	8
43500	8
43800	5
44100	7
44400	11
44700	10
45000	11
45300	7
45600	7
45900	10
46200	3
46500	10
46800	11
47100	14
47400	8
47700	6
48000	12
48300	13
48600	8
48900	12
49200	5
49500	7
49800	6
50100	9
50400	11
50700	6
51000	10
51300	8
51600	10
51900	7
52200	7
52500	7
52800	9
53100	11
53400	6
53700	4
54000	7
54300	10
54600	13
