Date and Time:                Wed Apr 9 16:50:27.000 2025
Software Version:             4.32.30000.0
Temperature (C):              -60
Model:                        DU897_EXF
Data Type:                    Counts
Acquisition Mode:             Real Time
Trigger Mode:                 Internal
Exposure Time (secs):         0.4
Readout Mode:                 Image
Horizontal Binning:           1
Vertical Binning:             56
Clockwise rotation:           false
Anti-Clockwise rotation:      false
Extended Data Range:          off
Horizontally flipped:         true
Vertically flipped:           false
Vertical Shift Speed (usecs): 3.3
Pixel Readout Rate (MHz):     17
Baseline offset:              0
Number of prescans:           0
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Electron Multiplying
EM Gain level:                10
Serial Number:                8484
Pre-Amplifier Gain:           1.000000
Count Convert Mode:           Counts
Spurious Noise Filter Mode:   No Filter
795.94519	939	
796.01849	1025	
796.09186	1010	
796.16516	897	
796.23846	747	
796.31177	684	
796.38507	650	
796.45844	610	
796.53174	589	
796.60504	579	
796.67834	575	
796.75165	576	
796.82495	568	
796.89825	566	
796.97156	573	
797.04486	568	
797.11816	567	
797.19141	568	
797.26471	572	
797.33801	566	
797.41132	571	
797.48462	574	
797.55786	585	
797.63116	595	
797.70447	598	
797.77771	589	
797.85101	579	
797.92426	572	
797.99756	572	
798.0708	572	
798.1441	566	
798.21735	572	
798.29065	573	
798.36389	566	
798.43713	572	
798.51044	569	
798.58368	571	
798.65692	572	
798.73016	571	
798.80347	569	
798.87671	567	
798.94995	571	
799.02319	570	
799.09644	570	
799.16968	571	
799.24292	571	
799.31616	577	
799.3894	593	
799.46265	646	
799.53589	752	
799.60913	851	
799.68237	859	
799.75555	775	
799.8288	694	
799.90204	655	
799.97528	635	
800.04846	609	
800.1217	607	
800.19495	620	
800.26813	617	
800.34137	617	
800.41455	621	
800.48779	628	
800.56097	631	
800.63422	636	
800.7074	651	
800.78058	661	
800.85382	688	
800.927	714	
801.00018	724	
801.07343	678	
801.14661	614	
801.21979	589	
801.29297	579	
801.36615	581	
801.43939	581	
801.51257	578	
801.58575	577	
801.65894	579	
801.73212	580	
801.8053	578	
801.87842	577	
801.9516	577	
802.02478	580	
802.09796	582	
802.17114	585	
802.24432	581	
802.31744	578	
802.39063	579	
802.46381	590	
802.53693	590	
802.61011	603	
802.68329	613	
802.75641	612	
802.82959	602	
802.90271	602	
802.97589	618	
803.04901	633	
803.12213	647	
803.19531	641	
803.26843	636	
803.34161	638	
803.41473	666	
803.48785	802	
803.56097	1046	
803.63409	1305	
803.70728	1354	
803.7804	1051	
803.85352	758	
803.92664	643	
803.99976	610	
804.07288	604	
804.146	596	
804.21912	599	
804.29224	598	
