# power_maxi = 0.03
# antistokes_power = 0.0005
# window_length = 1.5
# polyorder = 1
# deriv_max = 1.0e9
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1846-00_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
2.0016280023013874e-5,544656.4655724037,-2.1905985379517393e9,566231.4655710905
2.4867029328062745e-5,543703.6355203374,-1.9047878272861085e9,551959.9991557777
2.4867029328062745e-5,602903.6355203374,-1.9047878272861085e9,551959.9991557777
2.4867029328062745e-5,574103.6355203374,-1.9047878272861085e9,551959.9991557777
2.9717778634322332e-5,529800.8054682703,-1.7003071996440384e9,542867.3252931103
2.9717778634322332e-5,570150.8054682703,-1.7003071996440384e9,542867.3252931103
2.9717778634322332e-5,574750.8054682703,-1.7003071996440384e9,542867.3252931103
2.9717778634322332e-5,462150.8054682704,-1.7003071996440384e9,542867.3252931103
3.456852794179317e-5,545097.9754162027,-2.0060562625318408e9,532760.4466845036
3.456852794179317e-5,542597.9754162027,-2.0060562625318408e9,532760.4466845036
3.456852794179317e-5,533797.9754162027,-2.0060562625318408e9,532760.4466845036
3.456852794179317e-5,485197.9754162026,-2.0060562625318408e9,532760.4466845036
3.456852794179317e-5,500447.9754162026,-2.0060562625318408e9,532760.4466845036
3.941927725047572e-5,570245.1453641342,-1.1748401310415463e9,524104.53233964625
3.941927725047572e-5,533595.1453641342,-1.1748401310415463e9,524104.53233964625
4.4270026560370556e-5,517842.315312065,-1.0517546473241533e9,519497.52995521086
4.4270026560370556e-5,545592.3153120651,-1.0517546473241533e9,519497.52995521086
4.4270026560370556e-5,476492.315312065,-1.0517546473241533e9,519497.52995521086
4.912077587147815e-5,521139.48525999516,-8.063936515048324e7,511185.60929097177
4.912077587147815e-5,531689.4852599951,-8.063936515048324e7,511185.60929097177
4.912077587147815e-5,413489.48525999516,-8.063936515048324e7,511185.60929097177
5.3971525183799026e-5,523436.6552079246,-6.741404953502905e8,509114.44741794566
5.3971525183799026e-5,519486.6552079246,-6.741404953502905e8,509114.44741794566
5.3971525183799026e-5,539536.6552079245,-6.741404953502905e8,509114.44741794566
5.3971525183799026e-5,513836.6552079246,-6.741404953502905e8,509114.44741794566
5.3971525183799026e-5,481936.6552079246,-6.741404953502905e8,509114.44741794566
5.3971525183799026e-5,452686.6552079246,-6.741404953502905e8,509114.44741794566
5.882227449733368e-5,505133.8251558533,-5.80181348020008e8,505957.6615636419
5.882227449733368e-5,554733.8251558533,-5.80181348020008e8,505957.6615636419
5.882227449733368e-5,498083.8251558533,-5.80181348020008e8,505957.6615636419
5.882227449733368e-5,513983.8251558533,-5.80181348020008e8,505957.6615636419
5.882227449733368e-5,486733.8251558533,-5.80181348020008e8,505957.6615636419
5.882227449733368e-5,493983.8251558533,-5.80181348020008e8,505957.6615636419
6.367302381208262e-5,507530.9951037813,-7.802781270901961e8,500517.78041437326
6.367302381208262e-5,585030.9951037813,-7.802781270901961e8,500517.78041437326
6.367302381208262e-5,497330.9951037813,-7.802781270901961e8,500517.78041437326
6.85237731280464e-5,449028.16505170864,-4.647804498278018e8,496449.943895497
6.85237731280464e-5,520678.16505170864,-4.647804498278018e8,496449.943895497
6.85237731280464e-5,503128.16505170864,-4.647804498278018e8,496449.943895497
6.85237731280464e-5,445578.16505170864,-4.647804498278018e8,496449.943895497
7.337452244522546e-5,504825.3349996352,-4.647804498278018e8,494195.4104458566
7.337452244522546e-5,526875.3349996352,-4.647804498278018e8,494195.4104458566
7.337452244522546e-5,590575.3349996352,-4.647804498278018e8,494195.4104458566
7.822527176362037e-5,505472.5049475611,-4.567001397470845e8,491698.3617126204
7.822527176362037e-5,506672.5049475611,-4.567001397470845e8,491698.3617126204
