# power_maxi = 0.03
# antistokes_power = 0.009
# window_length = 1.5
# polyorder = 1
# deriv_max = 3.0e7
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1908-57_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
2.0016280023013874e-5,72856.46557240374,1.4878103041003797e7,76393.96557232227
2.0016280023013874e-5,81056.46557240374,1.4878103041003797e7,76393.96557232227
2.4867029328062745e-5,73803.63552033741,7.999073830971442e7,76517.01580196997
2.4867029328062745e-5,75753.63552033741,7.999073830971442e7,76517.01580196997
2.4867029328062745e-5,75403.63552033741,7.999073830971442e7,76517.01580196997
2.4867029328062745e-5,80703.63552033741,7.999073830971442e7,76517.01580196997
2.4867029328062745e-5,75703.63552033741,7.999073830971442e7,76517.01580196997
2.9717778634322332e-5,74250.80546827037,-3.035170128034945e6,76598.7116659376
2.9717778634322332e-5,79400.80546827037,-3.035170128034945e6,76598.7116659376
2.9717778634322332e-5,77650.80546827037,-3.035170128034945e6,76598.7116659376
2.9717778634322332e-5,73400.80546827037,-3.035170128034945e6,76598.7116659376
3.456852794179317e-5,77897.97541620262,-1.171572645653524e7,76837.9754162034
3.456852794179317e-5,74947.97541620262,-1.171572645653524e7,76837.9754162034
3.456852794179317e-5,81897.97541620262,-1.171572645653524e7,76837.9754162034
3.941927725047572e-5,77295.14536413418,-3.2072420405972194e7,76621.45628346801
3.941927725047572e-5,74095.14536413418,-3.2072420405972194e7,76621.45628346801
3.941927725047572e-5,77395.14536413418,-3.2072420405972194e7,76621.45628346801
3.941927725047572e-5,76795.14536413418,-3.2072420405972194e7,76621.45628346801
4.4270026560370556e-5,76992.31531206502,-1.3334838916334122e7,76547.39860984744
4.4270026560370556e-5,81942.31531206502,-1.3334838916334122e7,76547.39860984744
