# power_maxi = 0.03
# antistokes_power = 0.005
# window_length = 1.5
# polyorder = 1
# deriv_max = 1.0e8
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1925-43_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
2.0016280023013874e-5,120606.46557240374,-4.415443352792171e8,127616.55731556453
2.0016280023013874e-5,126506.46557240374,-4.415443352792171e8,127616.55731556453
2.0016280023013874e-5,134006.46557240374,-4.415443352792171e8,127616.55731556453
2.0016280023013874e-5,122806.46557240374,-4.415443352792171e8,127616.55731556453
2.0016280023013874e-5,130706.46557240374,-4.415443352792171e8,127616.55731556453
2.4867029328062745e-5,129253.63552033741,-1.5988116839452448e8,126317.96478878072
2.4867029328062745e-5,124803.63552033741,-1.5988116839452448e8,126317.96478878072
2.9717778634322332e-5,123550.80546827037,3.59626331288281e7,126621.85633829287
2.9717778634322332e-5,127250.80546827037,3.59626331288281e7,126621.85633829287
3.456852794179317e-5,117397.97541620262,3.456842599353129e7,127109.96259556072
3.456852794179317e-5,127847.97541620262,3.456842599353129e7,127109.96259556072
3.456852794179317e-5,128697.97541620262,3.456842599353129e7,127109.96259556072
3.941927725047572e-5,124045.14536413418,1.7174911839302224e8,126928.79881707707
3.941927725047572e-5,126095.14536413418,1.7174911839302224e8,126928.79881707707
4.4270026560370556e-5,125942.31531206502,1.511058091139943e8,127693.99273101725
4.4270026560370556e-5,129392.31531206502,1.511058091139943e8,127693.99273101725
4.4270026560370556e-5,131842.315312065,1.511058091139943e8,127693.99273101725
4.4270026560370556e-5,132692.315312065,1.511058091139943e8,127693.99273101725
4.912077587147815e-5,124289.48525999516,-3.949006581689037e7,127690.2540724703
4.912077587147815e-5,136889.48525999516,-3.949006581689037e7,127690.2540724703
