# power_maxi = 0.03
# antistokes_power = 0.005
# window_length = 1.5
# polyorder = 1
# deriv_max = 1.0e8
# power_mini = 2.0e-5
# 
# [calibrations]
# bbg = [1824.8813838215074]
# b = [-1.195530106692199e-5]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1731-30_power_sweep_plot_3.dat"]
# a = [0.015061321344515566]
# abg = [8787.162747897504]
# configuration = [0]
# 
# [data]
# filename = ["I:\\Other computers\\Spectro2021\\Lab66_spectrometer_2021\\DataLab37\\2025\\04\\2025-04-09\\qdplot_logic\\20250409-1940-01_power_sweep_plot_4.dat"]
# configuration = [0]
# 
power,pfi1,derivative,smoothed
2.0016280023013874e-5,129556.46557240374,-2.8776034780375165e8,126872.74464175462
2.0016280023013874e-5,128856.46557240374,-2.8776034780375165e8,126872.74464175462
2.4867029328062745e-5,119253.63552033741,-2.8776034780375165e8,125476.89133462495
3.941927725047572e-5,122845.14536413418,4.355673706715177e6,120053.4786975179
4.4270026560370556e-5,117542.31531206502,-1.981830381389101e7,120015.97602654595
4.912077587147815e-5,121389.48525999516,2.408996800130925e7,120224.98488418058
5.3971525183799026e-5,117636.65520792459,4.333627913437707e7,120446.688652385
5.882227449733368e-5,124083.8251558533,7.415980233526088e7,120870.47945139557
5.882227449733368e-5,119333.8251558533,7.415980233526088e7,120870.47945139557
6.367302381208262e-5,118680.99510378132,8.445498237547481e7,121137.2451031139
6.85237731280464e-5,118128.16505170861,9.774713012677886e7,121159.12422890148
6.85237731280464e-5,122878.16505170861,9.774713012677886e7,121159.12422890148
7.337452244522546e-5,123175.3349996352,9.774713012677886e7,121633.27105362016
7.822527176362037e-5,119972.50494756109,4.718927931572412e7,121804.18204347088
8.30760210832316e-5,123619.67489548626,7.135662111795354e7,122149.65912940694
8.30760210832316e-5,124569.67489548626,7.135662111795354e7,122149.65912940694
8.30760210832316e-5,120169.67489548626,7.135662111795354e7,122149.65912940694
9.277751972610513e-5,126764.01479133447,5.631768499458835e7,122567.16240268589
9.762826904936842e-5,123961.18473925751,5.937426893072113e7,122995.0632428962
0.00011218051702647064,123752.69458302238,-2.5842668627621777e7,123061.96599839201
0.00011218051702647064,130802.69458302238,-2.5842668627621777e7,123061.96599839201
0.0001170312663546105,114049.86453094258,-1.2405043714897366e7,123061.49979636613
0.0001170312663546105,122699.86453094258,-1.2405043714897366e7,123061.49979636613
0.00012188201568397073,123647.03447886207,-7.951893248402535e6,123054.74409649662
0.00012673276501455198,129494.20442678084,-7.9229684526845645e6,123178.95877540256
0.00013643426367937917,123388.54432261625,-2.045863835544035e7,122990.91555478124
0.00014128501301362626,123785.71427053287,-2.988374111187775e7,123147.98495714046
0.00014128501301362626,127585.71427053287,-2.988374111187775e7,123147.98495714046
0.00014613576234909613,120832.8842184488,-2.6768383958716296e7,123054.68830497452
0.00015098651168578972,130730.054166364,-2.358936437004498e7,122796.59819131068
0.0001558372610237072,112077.2241142785,-2.670116756936272e7,122667.62042973524
